target_index,load_multiplier,python_index,matlab_index,U_absolute_error,U_denominator,U_relative_error,U_tolerance,U_pass,loaded_displacements_absolute_error,loaded_displacements_denominator,loaded_displacements_relative_error,loaded_displacements_tolerance,loaded_displacements_pass,support_reaction_absolute_error,support_reaction_denominator,support_reaction_relative_error,support_reaction_tolerance,support_reaction_pass,solid_material_energy_absolute_error,solid_material_energy_denominator,solid_material_energy_relative_error,solid_material_energy_tolerance,solid_material_energy_pass,medium_material_energy_absolute_error,medium_material_energy_denominator,medium_material_energy_relative_error,medium_material_energy_tolerance,medium_material_energy_pass,J_field_absolute_error,J_field_denominator,J_field_relative_error,J_field_tolerance,J_field_pass,min_J_absolute_error,min_J_tolerance,min_J_pass,loaded_node_0_ux_absolute_difference,loaded_node_0_uy_absolute_difference,loaded_node_1_ux_absolute_difference,loaded_node_1_uy_absolute_difference,loaded_node_2_ux_absolute_difference,loaded_node_2_uy_absolute_difference,loaded_node_3_ux_absolute_difference,loaded_node_3_uy_absolute_difference,loaded_node_4_ux_absolute_difference,loaded_node_4_uy_absolute_difference,loaded_node_5_ux_absolute_difference,loaded_node_5_uy_absolute_difference,python_validity_pass,matlab_validity_pass,status
11,0.11,10,10,3.311698499590454e-09,123.6854245177115,2.6775171872545305e-11,1e-05,True,5.424326215635506e-10,19.924393855370877,2.7224548234742454e-11,1e-05,True,3.1434661141959164e-11,1.6306668197745215,1.927718204648682e-11,0.0001,True,7.23474613550934e-11,1.3363389235451177,5.4138557277944015e-11,0.0001,True,2.9362970388469023e-13,0.0050379310539085415,5.828378767845297e-11,0.0001,True,3.9009941181498025e-10,121.33023230266376,3.215187216009441e-12,1e-05,True,7.998268714004553e-12,1e-06,True,8.209599666741951e-12,2.0366197617249782e-10,9.365674902284127e-12,2.1050450271786758e-10,1.0550449403012863e-11,2.1737101008056925e-10,1.1761147611366596e-11,2.2425794554692402e-10,1.299463314730076e-11,2.31159091867994e-10,1.4258011438172957e-11,2.3809576532585197e-10,True,True,pass
12,0.12,11,11,4.306369186650645e-09,134.94478798897018,3.1912082347356975e-11,1e-05,True,7.009400168027583e-10,21.730871635646274,3.225549478894211e-11,1e-05,True,4.063217317378282e-11,1.778800715046419,2.284245381176525e-11,0.0001,True,1.0223955015931097e-10,1.5895948936089008,6.431799106198292e-11,0.0001,True,4.2562134372481353e-13,0.006104631553834599,6.972105359208145e-11,0.0001,True,5.070888192204399e-10,120.62230622871476,4.203939014886161e-12,1e-05,True,1.0250800208666533e-11,1e-06,True,1.6221912702008012e-11,2.6287771959232487e-10,1.7958134979068063e-11,2.716866731589107e-10,1.9732326883570295e-11,2.8052582479176635e-10,2.1541518568923834e-11,2.893880690635342e-10,2.33825458995085e-11,2.9827162961737486e-10,2.526451270412622e-11,3.071942700216823e-10,True,True,pass
13,0.13,12,12,5.27209196586979e-09,146.1934848174764,3.6062427627688296e-11,1e-05,True,8.514703599143457e-10,23.53358497825985,3.618107316420034e-11,1e-05,True,4.932675864203356e-11,1.926741402120565,2.5601130794067484e-11,0.0001,True,1.339808264333442e-10,1.8642457693200398,7.18686498520053e-11,0.0001,True,5.756168111603621e-13,0.007295418446059148,7.890113712000987e-11,0.0001,True,6.179036932439696e-10,119.92261412423585,5.152520212775231e-12,1e-05,True,1.2365442003670069e-11,1e-06,True,2.660621722938572e-11,3.1882052553555695e-10,2.9012653390836363e-11,3.2947156114460086e-10,3.1467911609794896e-11,3.4015812389043276e-10,3.3967023638226124e-11,3.5086955563201627e-10,3.65054653173047e-11,3.61604080012512e-10,3.909692014580912e-11,3.723901187413503e-10,True,True,pass
14,0.14,13,13,6.202506772404639e-09,157.42877322948752,3.939881284193902e-11,1e-05,True,9.922033932103084e-10,25.331848262545087,3.916821950482589e-11,1e-05,True,5.7383679095859736e-11,2.074447890256317,2.7662145366673664e-11,0.0001,True,1.6797008228763843e-10,2.1600537051576403,7.776199354977613e-11,0.0001,True,7.418458208841017e-13,0.0086162768792811,8.609818733517738e-11,0.0001,True,7.202837105557293e-10,119.23194384918138,6.0410296712668636e-12,1e-05,True,1.4319656571615269e-11,1e-06,True,3.915606727744603e-11,3.7073100145335047e-10,4.231204275839673e-11,3.830731287735034e-10,4.552605514795971e-11,3.9545611230096256e-10,4.879310844252416e-11,4.078657411810127e-10,5.210815112732803e-11,4.2030379177049326e-10,5.548821124801151e-11,4.327986857788346e-10,True,True,pass
15,0.15,14,14,1.969577471142809e-13,168.6481018099916,1.1678622231763068e-15,1e-05,True,1.6453029046994933e-14,27.124978388877,6.065637661020863e-16,1e-05,True,6.170137121931695e-14,2.221879173486947,2.7769903942384398e-14,0.0001,True,3.4416913763379853e-13,2.4767509160838763,1.3895993149685912e-13,0.0001,True,8.673617379884035e-18,0.010073439512049786,8.610383146202156e-16,0.0001,True,4.50453752753435e-14,118.55100740447047,3.7996619566174074e-16,1e-05,True,7.771561172376096e-16,1e-06,True,2.9698465908722937e-15,7.105427357601002e-15,3.164135620181696e-15,5.329070518200751e-15,3.0808688933348094e-15,7.105427357601002e-15,3.1363800445660672e-15,5.329070518200751e-15,2.9837243786801082e-15,5.329070518200751e-15,3.011479954295737e-15,5.329070518200751e-15,True,True,pass
16,0.16,15,15,1.4243197008586782e-13,179.84915443780204,7.91952403285419e-16,1e-05,True,2.0070234841301117e-14,28.91229568479953,6.941764521263154e-16,1e-05,True,4.6737369850416497e-14,2.368994265565603,1.9728781335508144e-14,0.0001,True,1.270095140171179e-13,2.8140401056965665,4.513422312638964e-14,0.0001,True,1.214306433183765e-17,0.011673406162628531,1.0402331729630629e-15,0.0001,True,4.898009057049137e-14,117.88044163497784,4.155065071961679e-16,1e-05,True,1.1102230246251565e-15,1e-06,True,3.3306690738754696e-15,7.105427357601002e-15,3.1363800445660672e-15,5.329070518200751e-15,3.066991105526995e-15,7.105427357601002e-15,3.3306690738754696e-15,7.105427357601002e-15,3.2335245592207684e-15,8.881784197001252e-15,3.6463887465032485e-15,8.881784197001252e-15,True,True,pass
17,0.17,16,16,2.3345363524393436e-13,191.02989056856157,1.2220790921729954e-15,1e-05,True,3.262596856326715e-14,30.693124647157546,1.0629731882409893e-15,1e-05,True,5.178227998790838e-14,2.5157522220249735,2.05832194182573e-14,0.0001,True,7.327471962526033e-14,3.171594941416341,2.3103429340361477e-14,0.0001,True,3.8163916471489756e-17,0.01342296862212133,2.843180040560836e-15,0.0001,True,5.6807628922027e-14,117.22081291880906,4.846206702334833e-16,1e-05,True,1.6653345369377348e-15,1e-06,True,3.372302437298913e-15,1.0658141036401503e-14,3.4833247397614286e-15,1.4210854715202004e-14,3.899658373995862e-15,1.4210854715202004e-14,3.837208328860697e-15,1.2434497875801753e-14,3.774758283725532e-15,1.2434497875801753e-14,3.927413949611491e-15,1.2434497875801753e-14,True,True,pass
18,0.18,17,17,3.496496151395329e-13,202.18857141068483,1.7293243267905861e-15,1e-05,True,5.1789838844187845e-14,32.466794385437666,1.5951632991342424e-15,1e-05,True,8.19688638804706e-14,2.6621121394418426,3.0790913224886454e-14,0.0001,True,2.886579864025407e-14,3.5490605336246324,8.133363284951812e-15,0.0001,True,5.0306980803327406e-17,0.015329242840607467,3.2817655331327403e-15,0.0001,True,6.394740059917263e-14,116.57262647121031,5.485627504066367e-16,1e-05,True,5.551115123125783e-16,1e-06,True,3.3861802251067274e-15,1.9539925233402755e-14,3.885780586188048e-15,2.1316282072803006e-14,4.045375145977914e-15,1.9539925233402755e-14,3.927413949611491e-15,1.9539925233402755e-14,4.08006961549745e-15,2.1316282072803006e-14,4.440892098500626e-15,2.3092638912203256e-14,True,True,pass
19,0.19,18,18,6.442024033243833e-14,213.3237588105273,3.0198342974846953e-16,1e-05,True,7.44503725795554e-15,34.23263860632992,2.1748359346681755e-16,1e-05,True,6.578677908564252e-14,2.8080331193320847,2.342806380477823e-14,0.0001,True,1.127986593019159e-13,3.94605385727678,2.858517987378906e-14,0.0001,True,3.469446951953614e-18,0.01739971253377477,1.9939679722978374e-16,0.0001,True,5.5231140656073614e-14,115.9363409399571,4.76391959658944e-16,1e-05,True,7.771561172376096e-16,1e-06,True,2.086872341600099e-15,1.7763568394002505e-15,1.817990202823694e-15,1.7763568394002505e-15,1.1934897514720433e-15,0.0,1.7208456881689926e-15,3.552713678800501e-15,2.0261570199409107e-15,1.7763568394002505e-15,2.1371793224034263e-15,3.552713678800501e-15,True,True,pass
20,0.19999999999999998,19,19,2.0032956305565753e-13,224.4342702690199,8.925979210551533e-16,1e-05,True,2.4522275872398536e-14,35.98999488645125,6.813636942646569e-16,1e-05,True,7.472457662599116e-14,2.953474177129742,2.5300568802876864e-14,0.0001,True,2.1405099914773018e-13,4.362164017261566,4.90699107829753e-14,0.0001,True,3.469446951953614e-17,0.01964229070915715,1.7663148373708639e-15,0.0001,True,6.345781721030283e-14,115.3123886786668,5.503122252296448e-16,1e-05,True,3.219646771412954e-15,1e-06,True,2.6298407895808396e-15,1.0658141036401503e-14,3.219646771412954e-15,8.881784197001252e-15,3.0808688933348094e-15,8.881784197001252e-15,3.2751579226442118e-15,1.0658141036401503e-14,3.3306690738754696e-15,8.881784197001252e-15,3.164135620181696e-15,8.881784197001252e-15,True,True,pass
21,0.21000000000000002,20,20,2.408208821839333e-13,235.51907336885236,1.0225111653983863e-15,1e-05,True,3.9132716382912695e-14,37.73820292538917,1.0369523016313356e-15,1e-05,True,5.720863858518851e-14,3.0983940718326073,1.8463964640673132e-14,0.0001,True,4.600764214046649e-13,4.796952221863651,9.591015297332309e-14,0.0001,True,5.898059818321144e-17,0.02206540848596937,2.6729891821724107e-15,0.0001,True,7.414962154759833e-14,114.70120113927953,6.464589804736205e-16,1e-05,True,1.1657341758564144e-15,1e-06,True,3.2612801348363973e-15,1.2434497875801753e-14,3.247402347028583e-15,1.4210854715202004e-14,3.83026943495679e-15,1.4210854715202004e-14,3.83026943495679e-15,1.5987211554602254e-14,4.052314039881821e-15,1.7763568394002505e-14,4.385380947269368e-15,1.7763568394002505e-14,True,True,pass
22,0.22,21,21,9.914675723230456e-14,246.5771089094681,4.0209230155548113e-16,1e-05,True,6.988675367311055e-15,39.47660145399504,1.7703335925346735e-16,1e-05,True,8.082673287684232e-14,3.2427510296254747,2.4925358789008697e-14,0.0001,True,1.0036416142611415e-13,5.249951296654937,1.9117160475386172e-14,0.0001,True,1.0408340855860843e-17,0.024678143123012797,4.217635339895117e-16,0.0001,True,6.577326545562234e-14,114.10323705234501,5.764364548698015e-16,1e-05,True,1.7763568394002505e-15,1e-06,True,2.0539125955565396e-15,0.0,1.7763568394002505e-15,0.0,1.9984014443252818e-15,0.0,1.887379141862766e-15,3.552713678800501e-15,2.0539125955565396e-15,0.0,2.1094237467877974e-15,3.552713678800501e-15,True,True,pass
23,0.23,22,22,5.63022388622464e-13,257.60704615531097,2.1855861360368945e-15,1e-05,True,8.074186157036203e-14,41.20452354379826,1.9595387745361897e-15,1e-05,True,9.246002607586044e-14,3.3865023388563693,2.7302513574251488e-14,0.0001,True,2.3092638912203256e-14,5.720664562807418,4.036705641218463e-15,0.0001,True,1.3530843112619095e-16,0.027490398124630604,4.9220251563020655e-15,0.0001,True,8.901572694841043e-14,113.51900865704432,7.84148205674862e-16,1e-05,True,2.275957200481571e-15,1e-06,True,5.051514762044462e-15,3.019806626980426e-14,4.551914400963142e-15,2.842170943040401e-14,5.662137425588298e-15,3.197442310920451e-14,6.439293542825908e-15,3.552713678800501e-14,7.327471962526033e-15,3.197442310920451e-14,7.549516567451064e-15,3.552713678800501e-14,True,True,pass
24,0.24,23,23,5.227042923330845e-13,268.6069928579738,1.9459816990299462e-15,1e-05,True,6.57256250162192e-14,42.9212902376802,1.5313059009237163e-15,1e-05,True,7.966319585537109e-14,3.529603805647862,2.2570010755286127e-14,0.0001,True,1.865174681370263e-13,6.208563933918313,3.004196624569709e-14,0.0001,True,8.673617379884035e-17,0.030513146256509905,2.842583752907336e-15,0.0001,True,8.279216042571685e-14,112.94909908527401,7.330041682157255e-16,1e-05,True,2.886579864025407e-15,1e-06,True,4.718447854656915e-15,2.1316282072803006e-14,5.2735593669694936e-15,2.4868995751603507e-14,5.662137425588298e-15,2.842170943040401e-14,6.217248937900877e-15,2.4868995751603507e-14,6.439293542825908e-15,2.842170943040401e-14,6.5503158452884236e-15,2.842170943040401e-14,True,True,pass
25,0.25,24,24,1.434261401922836e-13,279.5741968357682,5.130163720958026e-16,1e-05,True,1.2343962662941592e-14,44.62620264636925,2.7660795521318877e-16,1e-05,True,7.150709664572826e-14,3.6720090757343815,1.9473562066680687e-14,0.0001,True,2.4158453015843406e-13,6.713087150093731,3.598709874562867e-14,0.0001,True,4.85722573273506e-17,0.03375874068767891,1.4388053682665435e-15,0.0001,True,8.26310849619624e-14,112.3941636096086,7.351901763242291e-16,1e-05,True,1.6653345369377348e-15,1e-06,True,5.551115123125783e-16,7.105427357601002e-15,2.220446049250313e-16,3.552713678800501e-15,0.0,7.105427357601002e-15,0.0,3.552713678800501e-15,6.661338147750939e-16,3.552713678800501e-15,3.3306690738754696e-16,3.552713678800501e-15,True,True,pass
26,0.26,25,25,1.0740483122217449e-13,290.5047705699634,3.6971796026429714e-16,1e-05,True,6.427798216415205e-15,46.318532789255485,1.3877378727994298e-16,1e-05,True,8.419002614200972e-14,3.813668838637694,2.2075861776211224e-14,0.0001,True,3.375077994860476e-13,7.233634128781115,4.665812418451947e-14,0.0001,True,0.0,0.03724129167090039,0.0,0.0001,True,8.406399143465542e-14,111.85491019278929,7.51544937006034e-16,1e-05,True,2.3314683517128287e-15,1e-06,True,7.771561172376096e-16,3.552713678800501e-15,7.771561172376096e-16,0.0,6.661338147750939e-16,0.0,1.2212453270876722e-15,0.0,5.551115123125783e-16,3.552713678800501e-15,0.0,3.552713678800501e-15,True,True,pass
27,0.27,26,26,1.4830220576484415e-13,301.39343779620384,4.920551915437625e-16,1e-05,True,4.772667874287579e-15,47.99751332547476,9.943573205394533e-17,1e-05,True,8.823791319498355e-14,3.954529921511887,2.2313123164143013e-14,0.0001,True,1.0835776720341528e-13,7.769562401106287,1.3946444034993077e-14,0.0001,True,6.245004513516506e-17,0.04097709972211481,1.5240230655333955e-15,0.0001,True,8.507795217975997e-14,111.33206054157424,7.641819594993455e-16,1e-05,True,1.27675647831893e-15,1e-06,True,0.0,0.0,4.440892098500626e-16,0.0,1.3322676295501878e-15,3.552713678800501e-15,1.9984014443252818e-15,0.0,1.5543122344752192e-15,0.0,1.3322676295501878e-15,0.0,True,True,pass
28,0.28,27,27,2.952083782459597e-13,312.233249926283,9.454738671030622e-16,1e-05,True,3.644728778026222e-14,49.66232582433578,7.339021516870267e-16,1e-05,True,5.760779478103168e-14,4.094534243406764,1.4069437781304382e-14,0.0001,True,8.881784197001252e-14,8.320181457467102,1.0674988571349162e-14,0.0001,True,1.3183898417423734e-16,0.04498513510672741,2.9307233125219885e-15,0.0001,True,9.645442311074849e-14,110.82629941404757,8.70320705651231e-16,1e-05,True,6.106226635438361e-16,1e-06,True,6.661338147750939e-16,1.4210854715202004e-14,1.1102230246251565e-16,1.4210854715202004e-14,4.440892098500626e-16,1.4210854715202004e-14,6.661338147750939e-16,1.4210854715202004e-14,8.881784197001252e-16,1.4210854715202004e-14,1.1102230246251565e-15,1.7763568394002505e-14,True,True,pass
29,0.29,28,28,4.1001950432394515e-13,323.0151710305367,1.2693506098052075e-15,1e-05,True,5.079400772023743e-14,51.31208643815129,9.899033784459667e-16,1e-05,True,7.472569652578906e-14,4.233617540666747,1.765055435640996e-14,0.0001,True,2.0961010704922955e-13,8.884745533118126,2.359213398604409e-14,0.0001,True,1.5265566588595902e-16,0.0492875588405607,3.097245420082209e-15,0.0001,True,9.434519859503209e-14,110.33822363528803,8.550545358323034e-16,1e-05,True,3.3306690738754696e-16,1e-06,True,4.551914400963142e-15,1.7763568394002505e-14,3.774758283725532e-15,2.1316282072803006e-14,4.218847493575595e-15,2.1316282072803006e-14,4.6629367034256575e-15,2.1316282072803006e-14,5.10702591327572e-15,1.7763568394002505e-14,5.551115123125783e-15,2.1316282072803006e-14,True,True,pass
30,0.30000000000000004,29,29,1.15375906724574e-13,333.7274005936533,3.457190105437455e-16,1e-05,True,9.787609318816144e-15,52.94582701035442,1.8486082608364993e-16,1e-05,True,6.764342203103117e-14,4.3717077088914875,1.5472997404070086e-14,0.0001,True,1.900701818158268e-13,9.462443982046457,2.008679598806143e-14,0.0001,True,0.0,0.05391028857046041,0.0,0.0001,True,9.040872517557586e-14,109.86830015004925,8.228827155066833e-16,1e-05,True,2.248201624865942e-15,1e-06,True,1.7763568394002505e-15,3.552713678800501e-15,1.5543122344752192e-15,3.552713678800501e-15,1.9984014443252818e-15,3.552713678800501e-15,2.220446049250313e-15,3.552713678800501e-15,1.5543122344752192e-15,3.552713678800501e-15,1.7763568394002505e-15,3.552713678800501e-15,True,True,pass
31,0.31,30,30,2.7022148046696155e-13,344.35430479318313,7.847193332729055e-16,1e-05,True,3.0845824017355947e-14,54.562469092023356,5.653304282350628e-16,1e-05,True,7.029809924808924e-14,4.5087225616092725,1.5591577944196714e-14,0.0001,True,3.126388037344441e-13,10.052388031891452,3.110094862460439e-14,0.0001,True,1.1102230246251565e-16,0.0588836146561484,1.885453247237483e-15,0.0001,True,9.439940168136994e-14,109.4168338347562,8.62750258556504e-16,1e-05,True,1.5265566588595902e-15,1e-06,True,3.552713678800501e-15,1.0658141036401503e-14,3.774758283725532e-15,1.0658141036401503e-14,3.774758283725532e-15,1.4210854715202004e-14,3.552713678800501e-15,1.4210854715202004e-14,4.440892098500626e-15,1.0658141036401503e-14,4.440892098500626e-15,1.0658141036401503e-14,True,True,pass
32,0.32,31,31,2.83667098843145e-13,354.87490051445116,7.9934393340278945e-16,1e-05,True,4.545465122940646e-14,56.160788329645264,8.093663315871331e-16,1e-05,True,1.0030708157447337e-13,4.644566804145596,2.1596649548660252e-14,0.0001,True,5.861977570020827e-14,10.653592525988316,5.5023482038769085e-15,0.0001,True,1.6653345369377348e-16,0.06424285401220003,2.5922486828207845e-15,0.0001,True,1.0463702184808965e-13,108.98393253231247,9.601142059822992e-16,1e-05,True,1.6653345369377348e-15,1e-06,True,2.220446049250313e-15,1.7763568394002505e-14,2.6645352591003757e-15,1.7763568394002505e-14,1.9984014443252818e-15,1.7763568394002505e-14,2.220446049250313e-15,1.7763568394002505e-14,2.4424906541753444e-15,1.7763568394002505e-14,2.6645352591003757e-15,2.1316282072803006e-14,True,True,pass
