target_index,load_multiplier,python_index,matlab_index,U_absolute_error,U_denominator,U_relative_error,U_tolerance,U_pass,loaded_displacements_absolute_error,loaded_displacements_denominator,loaded_displacements_relative_error,loaded_displacements_tolerance,loaded_displacements_pass,support_reaction_absolute_error,support_reaction_denominator,support_reaction_relative_error,support_reaction_tolerance,support_reaction_pass,solid_material_energy_absolute_error,solid_material_energy_denominator,solid_material_energy_relative_error,solid_material_energy_tolerance,solid_material_energy_pass,medium_material_energy_absolute_error,medium_material_energy_denominator,medium_material_energy_relative_error,medium_material_energy_tolerance,medium_material_energy_pass,J_field_absolute_error,J_field_denominator,J_field_relative_error,J_field_tolerance,J_field_pass,min_J_absolute_error,min_J_tolerance,min_J_pass,loaded_node_0_ux_absolute_difference,loaded_node_0_uy_absolute_difference,loaded_node_1_ux_absolute_difference,loaded_node_1_uy_absolute_difference,loaded_node_2_ux_absolute_difference,loaded_node_2_uy_absolute_difference,loaded_node_3_ux_absolute_difference,loaded_node_3_uy_absolute_difference,loaded_node_4_ux_absolute_difference,loaded_node_4_uy_absolute_difference,loaded_node_5_ux_absolute_difference,loaded_node_5_uy_absolute_difference,python_validity_pass,matlab_validity_pass,status
11,0.11,10,10,3.311677561993442e-09,123.6854245177115,2.6775002591507593e-11,1e-05,True,5.424246406763598e-10,19.924393855370877,2.7224147676148364e-11,1e-05,True,3.1464711943673595e-11,1.6306668197745215,1.9295610582193816e-11,0.0001,True,7.2310157861466e-11,1.3363389235451177,5.411064258282427e-11,0.0001,True,2.936175608203584e-13,0.0050379310539085415,5.828137735083992e-11,0.0001,True,3.900817175296349e-10,121.33023230266376,3.215041380260102e-12,1e-05,True,7.99815769170209e-12,1e-06,True,8.20998824480057e-12,2.0365931163723872e-10,9.366174502645208e-12,2.1050183818260848e-10,1.0550837981071481e-11,2.1736745736689045e-10,1.176131414482029e-11,2.2425439283324522e-10,1.2994466613847067e-11,2.311555391543152e-10,1.425792817144611e-11,2.3809221261217317e-10,True,True,pass
12,0.12,11,11,4.306119843197393e-09,134.94478798897018,3.191023460312789e-11,1e-05,True,7.009007775311325e-10,21.730871635646274,3.2253689096456157e-11,1e-05,True,4.064436813717319e-11,1.778800715046419,2.2849309533874655e-11,0.0001,True,1.0197620525786988e-10,1.5895948936089008,6.41523231282849e-11,0.0001,True,4.255996596813638e-13,0.006104631553834599,6.971750152783998e-11,0.0001,True,5.070624525835746e-10,120.62230622871476,4.203720426486638e-12,1e-05,True,1.0250023052549295e-11,1e-06,True,1.62213575904957e-11,2.6286350873760966e-10,1.79580239567656e-11,2.716724623041955e-10,1.9732437905872757e-11,2.8050983758021175e-10,2.1541268768743294e-11,2.893720818519796e-10,2.3381990787996187e-11,2.9825386604898085e-10,2.5263957592613906e-11,3.071765064532883e-10,True,True,pass
13,0.13,12,12,5.271976682705948e-09,146.1934848174764,3.606163906201462e-11,1e-05,True,8.514535851849562e-10,23.53358497825985,3.618036036462454e-11,1e-05,True,4.9324891135010865e-11,1.926741402120565,2.5600161537362543e-11,0.0001,True,1.3395728970522214e-10,1.8642457693200398,7.185602451659653e-11,0.0001,True,5.756020660108163e-13,0.007295418446059148,7.889911596801498e-11,0.0001,True,6.17888798389664e-10,119.92261412423585,5.152396008892465e-12,1e-05,True,1.2364886892157756e-11,1e-06,True,2.6605440073268483e-11,3.1881342010819935e-10,2.9012264812777744e-11,3.2946623207408265e-10,3.1467412009433815e-11,3.4015101846307516e-10,3.396621872653327e-11,3.5086245020465867e-10,3.650454938330938e-11,3.615969745851544e-10,3.9096198500843116e-11,3.723830133139927e-10,True,True,pass
14,0.14,13,13,6.202526688150902e-09,157.42877322948752,3.939893934833207e-11,1e-05,True,9.922049275434812e-10,25.331848262545087,3.916828007415968e-11,1e-05,True,5.738555903446687e-11,2.074447890256317,2.7663051602311574e-11,0.0001,True,1.6812373715424656e-10,2.1600537051576403,7.783312829343608e-11,0.0001,True,7.418423514371497e-13,0.0086162768792811,8.609778467321554e-11,0.0001,True,7.202806885427386e-10,119.23194384918138,6.041004325601154e-12,1e-05,True,1.4318990437800494e-11,1e-06,True,3.915612278859726e-11,3.7073100145335047e-10,4.2312070513972344e-11,3.830731287735034e-10,4.552594412565725e-11,3.9545611230096256e-10,4.879341375385593e-11,4.078675175378521e-10,5.210851194981103e-11,4.2030556812733266e-10,5.5488558192706705e-11,4.327986857788346e-10,True,True,pass
15,0.15,14,14,1.9180327374517175e-13,168.6481018099916,1.1372987403159039e-15,1e-05,True,1.95382692908261e-14,27.124978388877,7.203054325321807e-16,1e-05,True,5.504712008149087e-14,2.221879173486947,2.4775028605674206e-14,0.0001,True,1.3455903058456897e-13,2.4767509160838763,5.4328850636836534e-14,0.0001,True,2.6020852139652106e-17,0.010073439512049786,2.5831149438606468e-15,0.0001,True,5.3490172024743104e-14,118.55100740447047,4.511996413682608e-16,1e-05,True,3.3306690738754696e-16,1e-06,True,2.7200464103316335e-15,7.105427357601002e-15,2.914335439641036e-15,7.105427357601002e-15,2.7200464103316335e-15,7.105427357601002e-15,2.9698465908722937e-15,7.105427357601002e-15,2.9698465908722937e-15,8.881784197001252e-15,3.0808688933348094e-15,7.105427357601002e-15,True,True,pass
16,0.16,15,15,1.3175607760348445e-13,179.84915443780204,7.32592143762623e-16,1e-05,True,6.8110156919336274e-15,28.91229568479953,2.3557505658447173e-16,1e-05,True,5.73483548581162e-14,2.368994265565603,2.4207890956808265e-14,0.0001,True,7.638334409421077e-14,2.8140401056965665,2.7143658663423138e-14,0.0001,True,1.0408340855860843e-17,0.011673406162628531,8.916284339683397e-16,0.0001,True,4.5940164826714156e-14,117.88044163497784,3.8971829583884635e-16,1e-05,True,5.551115123125783e-16,1e-06,True,2.4980018054066022e-15,0.0,2.581268532253489e-15,0.0,2.6645352591003757e-15,0.0,2.6645352591003757e-15,0.0,2.796374243274613e-15,1.7763568394002505e-15,2.8831104170734534e-15,0.0,True,True,pass
17,0.17,16,16,3.5595715934981633e-13,191.02989056856157,1.863358442442606e-15,1e-05,True,5.16811775928249e-14,30.693124647157546,1.6838030727383448e-15,1e-05,True,5.900013449662823e-14,2.5157522220249735,2.3452283567551806e-14,0.0001,True,1.5987211554602254e-14,3.171594941416341,5.040748219715231e-15,0.0001,True,4.5102810375396984e-17,0.01342296862212133,3.360121866117352e-15,0.0001,True,6.015483006261371e-14,117.22081291880906,5.131753360581017e-16,1e-05,True,0.0,1e-06,True,3.0253577421035516e-15,1.7763568394002505e-14,2.8449465006019636e-15,1.9539925233402755e-14,3.6290415117434804e-15,2.1316282072803006e-14,3.733124920302089e-15,2.1316282072803006e-14,3.837208328860697e-15,2.1316282072803006e-14,4.253541963095131e-15,2.3092638912203256e-14,True,True,pass
18,0.18,17,17,1.9370172389488212e-13,202.18857141068483,9.580250878841007e-16,1e-05,True,2.768718493978126e-14,32.466794385437666,8.527846824384915e-16,1e-05,True,6.786877937039294e-14,2.6621121394418426,2.5494335255397166e-14,0.0001,True,2.2648549702353193e-14,3.5490605336246324,6.381561962039114e-15,0.0001,True,2.949029909160572e-17,0.015329242840607467,1.923793588388158e-15,0.0001,True,5.882086897090846e-14,116.57262647121031,5.045856025679864e-16,1e-05,True,1.5543122344752192e-15,1e-06,True,2.345346139520643e-15,1.0658141036401503e-14,2.6298407895808396e-15,1.0658141036401503e-14,2.6940255581919814e-15,1.0658141036401503e-14,2.768618667658984e-15,1.0658141036401503e-14,2.609024107869118e-15,1.0658141036401503e-14,3.1363800445660672e-15,1.2434497875801753e-14,True,True,pass
19,0.19,18,18,1.0896326215355545e-13,213.3237588105273,5.107882158139539e-16,1e-05,True,1.570074097387748e-14,34.23263860632992,4.586482845927709e-16,1e-05,True,6.93854707685385e-14,2.8080331193320847,2.470963404628306e-14,0.0001,True,3.3795188869589765e-13,3.94605385727678,8.564299954312393e-14,0.0001,True,2.0816681711721685e-17,0.01739971253377477,1.1963807833787025e-15,0.0001,True,5.908355660830211e-14,115.9363409399571,5.096206774276343e-16,1e-05,True,1.6653345369377348e-16,1e-06,True,2.3002433291452462e-15,5.329070518200751e-15,2.1510571102112408e-15,5.329070518200751e-15,2.3037127760972e-15,5.329070518200751e-15,2.4424906541753444e-15,7.105427357601002e-15,2.248201624865942e-15,5.329070518200751e-15,2.3869795029440866e-15,7.105427357601002e-15,True,True,pass
20,0.19999999999999998,19,19,1.0771522876246208e-13,224.4342702690199,4.7994109203264e-16,1e-05,True,1.2507269164416246e-14,35.98999488645125,3.47520726353999e-16,1e-05,True,6.625765012054574e-14,2.953474177129742,2.2433800381128282e-14,0.0001,True,2.2115642650533118e-13,4.362164017261566,5.069878748946411e-14,0.0001,True,3.122502256758253e-17,0.01964229070915715,1.5896833536337775e-15,0.0001,True,6.432619174777892e-14,115.3123886786668,5.578428517948088e-16,1e-05,True,1.8318679906315083e-15,1e-06,True,5.620504062164855e-16,3.552713678800501e-15,6.106226635438361e-16,5.329070518200751e-15,9.159339953157541e-16,5.329070518200751e-15,4.440892098500626e-16,5.329070518200751e-15,2.498001805406602e-16,5.329070518200751e-15,1.6653345369377348e-16,5.329070518200751e-15,True,True,pass
21,0.21000000000000002,20,20,2.1612430179557132e-13,235.51907336885236,9.176509515944536e-16,1e-05,True,3.69388026779387e-14,37.73820292538917,9.788172147722313e-16,1e-05,True,6.061517092213615e-14,3.0983940718326073,1.9563415600741868e-14,0.0001,True,4.085620730620576e-14,4.796952221863651,8.517117831607842e-15,0.0001,True,5.204170427930421e-17,0.02206540848596937,2.3585198666227156e-15,0.0001,True,6.589316285673283e-14,114.70120113927953,5.744766593744732e-16,1e-05,True,6.106226635438361e-16,1e-06,True,2.6367796834847468e-15,1.2434497875801753e-14,2.858824288409778e-15,1.2434497875801753e-14,3.4416913763379853e-15,1.4210854715202004e-14,3.774758283725532e-15,1.5987211554602254e-14,4.551914400963142e-15,1.7763568394002505e-14,4.274358644806853e-15,1.4210854715202004e-14,True,True,pass
22,0.22,21,21,1.1555519059271935e-13,246.5771089094681,4.686371379070145e-16,1e-05,True,2.236486346295675e-14,39.47660145399504,5.665346721657424e-16,1e-05,True,8.064271593126127e-14,3.2427510296254747,2.4868611618504427e-14,0.0001,True,3.8191672047105385e-14,5.249951296654937,7.274671685323942e-15,0.0001,True,3.469446951953614e-17,0.024678143123012797,1.4058784466317057e-15,0.0001,True,7.075233225054039e-14,114.10323705234501,6.200729626810032e-16,1e-05,True,2.886579864025407e-15,1e-06,True,2.7200464103316335e-15,3.552713678800501e-15,2.0539125955565396e-15,7.105427357601002e-15,2.55351295663786e-15,7.105427357601002e-15,2.886579864025407e-15,1.0658141036401503e-14,3.164135620181696e-15,1.0658141036401503e-14,3.0531133177191805e-15,1.0658141036401503e-14,True,True,pass
23,0.23,22,22,3.79805190704723e-13,257.60704615531097,1.4743587039763615e-15,1e-05,True,5.21133827258505e-14,41.20452354379826,1.2647490674284023e-15,1e-05,True,7.623900199273255e-14,3.3865023388563693,2.2512608693038335e-14,0.0001,True,1.1901590823981678e-13,5.720664562807418,2.0804559843202848e-14,0.0001,True,7.28583859910259e-17,0.027490398124630604,2.6503212380088045e-15,0.0001,True,7.421207725027304e-14,113.51900865704432,6.53741414131596e-16,1e-05,True,2.4980018054066022e-15,1e-06,True,3.497202527569243e-15,1.7763568394002505e-14,2.9976021664879227e-15,1.7763568394002505e-14,3.552713678800501e-15,2.1316282072803006e-14,4.107825191113079e-15,2.1316282072803006e-14,4.773959005888173e-15,2.1316282072803006e-14,5.440092820663267e-15,2.4868995751603507e-14,True,True,pass
24,0.24,23,23,3.9332283896490365e-13,268.6069928579738,1.4643060285957389e-15,1e-05,True,4.552784218214933e-14,42.9212902376802,1.0607286484174898e-15,1e-05,True,7.06743041001748e-14,3.529603805647862,2.0023296662102976e-14,0.0001,True,4.618527782440651e-14,6.208563933918313,7.438963070363089e-15,0.0001,True,6.245004513516506e-17,0.030513146256509905,2.046660302093282e-15,0.0001,True,7.882581520220369e-14,112.94909908527401,6.978879498869839e-16,1e-05,True,2.220446049250313e-16,1e-06,True,3.941291737419306e-15,1.4210854715202004e-14,4.440892098500626e-15,1.7763568394002505e-14,4.884981308350689e-15,2.1316282072803006e-14,5.551115123125783e-15,1.7763568394002505e-14,5.329070518200751e-15,1.7763568394002505e-14,5.995204332975845e-15,1.7763568394002505e-14,True,True,pass
25,0.25,24,24,1.0622672391342437e-13,279.5741968357682,3.7995897016141914e-16,1e-05,True,1.0024029020435166e-14,44.62620264636925,2.246220477208968e-16,1e-05,True,5.0601281461900057e-14,3.6720090757343815,1.3780271349623525e-14,0.0001,True,2.078337502098293e-13,6.713087150093731,3.09594893620482e-14,0.0001,True,1.3877787807814457e-17,0.03375874068767891,4.110872480761553e-16,0.0001,True,7.500133808662243e-14,112.3941636096086,6.673063411649477e-16,1e-05,True,3.885780586188048e-16,1e-06,True,1.7763568394002505e-15,3.552713678800501e-15,1.4432899320127035e-15,3.552713678800501e-15,1.887379141862766e-15,3.552713678800501e-15,2.3314683517128287e-15,3.552713678800501e-15,2.55351295663786e-15,3.552713678800501e-15,1.9984014443252818e-15,3.552713678800501e-15,True,True,pass
26,0.26,25,25,9.234981553495121e-14,290.5047705699634,3.178943166880292e-16,1e-05,True,1.981678125681199e-14,46.318532789255485,4.278369815161522e-16,1e-05,True,6.630275775073394e-14,3.813668838637694,1.738555720386524e-14,0.0001,True,2.1316282072803006e-13,7.233634128781115,2.946828895864388e-14,0.0001,True,4.85722573273506e-17,0.03724129167090039,1.3042581271504072e-15,0.0001,True,8.236912146589386e-14,111.85491019278929,7.363925403357373e-16,1e-05,True,9.992007221626409e-16,1e-06,True,1.1102230246251565e-16,7.105427357601002e-15,5.551115123125783e-16,3.552713678800501e-15,7.771561172376096e-16,7.105427357601002e-15,6.661338147750939e-16,7.105427357601002e-15,2.220446049250313e-16,1.0658141036401503e-14,1.1102230246251565e-16,1.0658141036401503e-14,True,True,pass
27,0.27,26,26,3.5559107601185885e-13,301.39343779620384,1.1798235509437414e-15,1e-05,True,4.10952018198001e-14,47.99751332547476,8.561943936789065e-16,1e-05,True,7.078367701398166e-14,3.954529921511887,1.789939093112736e-14,0.0001,True,8.08242361927114e-14,7.769562401106287,1.0402675468724345e-14,0.0001,True,1.6653345369377348e-16,0.04097709972211481,4.0640615080890544e-15,0.0001,True,9.454782736413788e-14,111.33206054157424,8.492416910655427e-16,1e-05,True,2.4424906541753444e-15,1e-06,True,2.886579864025407e-15,1.4210854715202004e-14,2.3314683517128287e-15,1.7763568394002505e-14,1.5543122344752192e-15,1.4210854715202004e-14,8.881784197001252e-16,1.7763568394002505e-14,1.3322676295501878e-15,1.7763568394002505e-14,1.9984014443252818e-15,1.7763568394002505e-14,True,True,pass
28,0.28,27,27,2.1081501633112884e-13,312.233249926283,6.751843898140297e-16,1e-05,True,2.2063290966661902e-14,49.66232582433578,4.442661635442442e-16,1e-05,True,8.597566371938756e-14,4.094534243406764,2.099766630547299e-14,0.0001,True,1.687538997430238e-13,8.320181457467102,2.0282478285563405e-14,0.0001,True,2.0816681711721685e-17,0.04498513510672741,4.627457861876824e-16,0.0001,True,8.944200543488111e-14,110.82629941404757,8.070467561199113e-16,1e-05,True,4.996003610813204e-16,1e-06,True,2.886579864025407e-15,7.105427357601002e-15,2.886579864025407e-15,7.105427357601002e-15,3.219646771412954e-15,1.0658141036401503e-14,3.552713678800501e-15,1.0658141036401503e-14,2.886579864025407e-15,7.105427357601002e-15,3.1086244689504383e-15,7.105427357601002e-15,True,True,pass
29,0.29,28,28,1.754465472849309e-13,323.0151710305367,5.431526535586306e-16,1e-05,True,1.9469463036004363e-14,51.31208643815129,3.794323011883713e-16,1e-05,True,8.024760296886994e-14,4.233617540666747,1.8954854140232955e-14,0.0001,True,2.1316282072803006e-14,8.884745533118126,2.399200066377365e-15,0.0001,True,6.245004513516506e-17,0.0492875588405607,1.2670549445790856e-15,0.0001,True,9.305768594272748e-14,110.33822363528803,8.433857540639802e-16,1e-05,True,4.996003610813204e-16,1e-06,True,2.3314683517128287e-15,7.105427357601002e-15,1.5543122344752192e-15,7.105427357601002e-15,4.440892098500626e-16,7.105427357601002e-15,8.881784197001252e-16,1.0658141036401503e-14,1.3322676295501878e-15,7.105427357601002e-15,1.5543122344752192e-15,7.105427357601002e-15,True,True,pass
30,0.30000000000000004,29,29,2.2587032179088585e-13,333.7274005936533,6.768108383941351e-16,1e-05,True,2.6220309015184315e-14,52.94582701035442,4.952290009570822e-16,1e-05,True,5.3789376242889694e-14,4.3717077088914875,1.2303973601320387e-14,0.0001,True,9.414691248821327e-14,9.462443982046457,9.949534461376223e-15,0.0001,True,7.632783294297951e-17,0.05391028857046041,1.4158305393453704e-15,0.0001,True,9.07180575819552e-14,109.86830015004925,8.256981991899375e-16,1e-05,True,1.2212453270876722e-15,1e-06,True,3.3306690738754696e-16,1.0658141036401503e-14,1.1102230246251565e-15,1.0658141036401503e-14,8.881784197001252e-16,1.0658141036401503e-14,8.881784197001252e-16,1.0658141036401503e-14,1.3322676295501878e-15,1.0658141036401503e-14,1.1102230246251565e-15,1.0658141036401503e-14,True,True,pass
31,0.31,30,30,3.64452764645717e-13,344.35430479318313,1.0583656413547811e-15,1e-05,True,4.8513062229881064e-14,54.562469092023356,8.891287919551522e-16,1e-05,True,7.60032455242871e-14,4.5087225616092725,1.685693552569349e-14,0.0001,True,1.8829382497642655e-13,10.052388031891452,1.8731253148909462e-14,0.0001,True,1.8041124150158794e-16,0.0588836146561484,3.06386152676091e-15,0.0001,True,1.050556346715533e-13,109.4168338347562,9.601414242182396e-16,1e-05,True,6.661338147750939e-16,1e-06,True,5.329070518200751e-15,1.7763568394002505e-14,5.773159728050814e-15,1.7763568394002505e-14,5.329070518200751e-15,2.1316282072803006e-14,5.551115123125783e-15,2.1316282072803006e-14,5.551115123125783e-15,1.7763568394002505e-14,5.551115123125783e-15,1.7763568394002505e-14,True,True,pass
